	study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_bytes	fastq_md5	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp
490	PRJEB4352	SAMEA2189665	ERS327852	ERX288843	ERR315673	408172	marine metagenome	454 GS FLX Titanium	SINGLE	57428302	84fdee63e71c1a892b9b240d81ceebe3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315673/ERR315673.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315673/ERR315673.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GMECL9K01.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GMECL9K01.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315673	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315673	
491	PRJEB4352	SAMEA2189665	ERS327852	ERX288838	ERR315675	408172	marine metagenome	454 GS FLX Titanium	SINGLE	150062864	63693cbb2adb03bc78ad37c695d6f05b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315675/ERR315675.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315675/ERR315675.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GO4O91V02.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GO4O91V02.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315675	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315675	
492	PRJEB4352	SAMEA2189670	ERS327857	ERX288841	ERR315676	408172	marine metagenome	454 GS FLX Titanium	SINGLE	61658579	0ba549f646eeddaf28cfe31d4b8180d9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315676/ERR315676.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315676/ERR315676.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAEOTS_GIJRCIR01.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAEOTS_GIJRCIR01.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315676	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315676	
493	PRJEB4352	SAMEA2189670	ERS327857	ERX288826	ERR315677	408172	marine metagenome	454 GS FLX Titanium	SINGLE	59478241	3d07b62c670d7f323551c24ec05927bf	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315677/ERR315677.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315677/ERR315677.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAEOTS_GIJRCIR02.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAEOTS_GIJRCIR02.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315677	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315677	
494	PRJEB4352	SAMEA2189671	ERS327858	ERX288842	ERR315678	408172	marine metagenome	454 GS FLX Titanium	SINGLE	168468275	b5f63e57afbb739f1d48327038a6e00f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315678/ERR315678.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315678/ERR315678.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAHOTS_GHTUOWP01.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAHOTS_GHTUOWP01.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315678	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315678	
495	PRJEB4352	SAMEA2189667	ERS327854	ERX288831	ERR315679	408172	marine metagenome	454 GS FLX Titanium	SINGLE	60621918	c286f0b2954ce570f696b64c014efc22	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315679/ERR315679.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315679/ERR315679.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AACOTS_GF0OIWM04.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AACOTS_GF0OIWM04.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315679	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315679	
496	PRJEB4352	SAMEA2189665	ERS327852	ERX288822	ERR315680	408172	marine metagenome	454 GS FLX Titanium	SINGLE	88614926	483fa8d8de393aabeba7630fb36dd22a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315680/ERR315680.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315680/ERR315680.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GHY2H1O02.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GHY2H1O02.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315680	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315680	
497	PRJEB4352	SAMEA2189665	ERS327852	ERX288837	ERR315681	408172	marine metagenome	454 GS FLX Titanium	SINGLE	92990594	3102431c5c9f2adb78f3344f70cba6ed	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315681/ERR315681.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315681/ERR315681.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GHY2H1O01.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GHY2H1O01.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315681	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315681	
498	PRJEB4352	SAMEA2189665	ERS327852	ERX288827	ERR315682	408172	marine metagenome	454 GS FLX Titanium	SINGLE	7176953	942feb402c4f5d1d4d898d3070dc0e80	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315682/ERR315682.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315682/ERR315682.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GIQV5A308.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GIQV5A308.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315682	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315682	
499	PRJEB4352	SAMEA2189667	ERS327854	ERX288829	ERR315683	408172	marine metagenome	454 GS FLX Titanium	SINGLE	71247235	0dd1055912c553ae2564dd064f3dcc86	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315683/ERR315683.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315683/ERR315683.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AACOKS_GJG1U1Y02.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AACOKS_GJG1U1Y02.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315683	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315683	
